pixel_index,row,col,class
30278,118,70,13
30280,118,72,13
30533,119,69,13
30534,119,70,13
30791,120,71,13
30792,120,72,13
30794,120,74,13
35603,139,19,13
35859,140,19,13
43329,169,65,13
43586,170,66,13
44373,173,85,13
44374,173,86,13
44376,173,88,13
44630,174,86,13
45166,176,110,13
45679,178,111,13
45934,179,110,13
45936,179,112,13
46169,180,89,13
46170,180,90,13
46190,180,110,13
46191,180,111,13
46195,180,115,13
46426,181,90,13
46440,181,104,13
46451,181,115,13
46452,181,116,13
46706,182,114,13
46968,183,120,13
47224,184,120,13
47478,185,118,13
47479,185,119,13
47738,186,122,13
49782,194,118,13
73434,286,218,11
73949,288,221,11
73950,288,222,11
73951,288,223,11
74206,289,222,11
74461,290,221,11
74462,290,222,11
74701,291,205,11
74719,291,223,11
74959,292,207,11
75212,293,204,11
75470,294,206,11
75745,295,225,11
75984,296,208,11
75985,296,209,11
76244,297,212,11
76499,298,211,11
76501,298,213,11
77010,300,210,11
77013,300,213,11
77024,300,224,11
77025,300,225,11
77266,301,210,11
77267,301,211,11
79610,310,250,11
79861,311,245,11
79867,311,251,11
79868,311,252,11
80119,312,247,11
80121,312,249,11
80376,313,248,11
82157,320,237,11
82158,320,238,11
85493,333,245,11
85750,334,246,11
86009,335,249,11
86262,336,246,11
86265,336,249,11
86520,337,248,11
86777,338,249,11
95206,371,230,12
95458,372,226,12
95464,372,232,12
95712,373,224,12
95722,373,234,12
95978,374,234,12
95979,374,235,12
96479,376,223,12
96481,376,225,12
96483,376,227,12
96487,376,231,12
96488,376,232,12
96491,376,235,12
96740,377,228,12
96745,377,233,12
96756,377,244,12
96991,378,223,12
96992,378,224,12
96996,378,228,12
97002,378,234,12
97012,378,244,12
97255,379,231,12
97258,379,234,12
97505,380,225,12
97514,380,234,12
97768,381,232,12
97769,381,233,12
98017,382,225,12
98022,382,230,12
98278,383,230,12
98279,383,231,12
99313,387,241,12
99314,387,242,12
99568,388,240,12
99570,388,242,12
99824,389,240,12
99825,389,241,12
99827,389,243,12
100083,390,243,12
100084,390,244,12
114159,445,239,10
115183,449,239,10
115506,451,50,10
115761,452,49,10
115955,452,243,10
116015,453,47,10
116207,453,239,10
116211,453,243,10
116213,453,245,10
116463,454,239,10
116522,455,42,10
116720,455,240,10
116722,455,242,10
116977,456,241,10
117488,458,240,10
117495,458,247,10
118000,460,240,10
118007,460,247,10
118073,461,57,10
118264,461,248,10
118328,462,56,10
118514,462,242,10
118518,462,246,10
118769,463,241,10
118771,463,243,10
119026,464,242,10
119098,465,58,10
119171,465,131,9
119418,466,122,9
119422,466,126,9
119428,466,132,9
119539,466,243,10
119608,467,56,10
119681,467,129,9
119683,467,131,9
119791,467,239,10
119795,467,243,10
119931,468,123,9
120190,469,126,9
120192,469,128,9
120303,469,239,10
120304,469,240,10
120442,470,122,9
120446,470,126,9
120451,470,131,9
120562,470,242,10
120564,470,244,10
120697,471,121,9
120817,471,241,10
120820,471,244,10
120953,472,121,9
120956,472,124,9
120957,472,125,9
121076,472,244,10
121214,473,126,9
122354,477,242,10
122608,478,240,10
123431,482,39,8
123690,483,42,8
123945,484,41,8
124198,485,38,8
124639,486,223,9
124968,488,40,8
125152,488,224,9
125665,490,225,9
125918,491,222,9
125920,491,224,9
126172,492,220,9
126174,492,222,9
126175,492,223,9
126242,493,34,8
126430,493,222,9
126686,494,222,9
126755,495,35,8
126941,495,221,9
127711,498,223,9
127963,499,219,9
128732,502,220,9
128733,502,221,9
128739,502,227,9
128989,503,221,9
128990,503,222,9
128992,503,224,9
129244,504,220,9
129246,504,222,9
129249,504,225,9
129504,505,224,9
131214,512,142,8
131470,513,142,8
132751,518,143,8
132752,518,144,8
132753,518,145,8
133004,519,140,8
133263,520,143,8
133969,523,81,6
134223,524,79,6
134224,524,80,6
134477,525,77,6
134478,525,78,6
134482,525,82,6
134483,525,83,6
134734,526,78,6
134987,527,75,6
134988,527,76,6
134991,527,79,6
134993,527,81,6
135070,527,158,8
135077,527,165,8
135243,528,75,6
135252,528,84,6
135325,528,157,8
135331,528,163,8
135498,529,74,6
135760,530,80,6
135837,530,157,8
136021,531,85,6
136274,532,82,6
136786,534,82,6
136867,534,163,8
137299,536,83,6
142025,554,201,8
142391,556,55,6
142533,556,197,8
142537,556,201,8
142542,556,206,8
142648,557,56,6
142791,557,199,8
142793,557,201,8
142794,557,202,8
143153,559,49,6
143160,559,56,6
143165,559,61,6
143296,559,192,8
143300,559,196,8
143301,559,197,8
143306,559,202,8
143420,560,60,6
143421,560,61,6
143666,561,50,6
143671,561,55,6
143810,561,194,8
144059,562,187,8
144317,563,189,8
144318,563,190,8
144437,564,53,6
144438,564,54,6
144439,564,55,6
144569,564,185,8
144570,564,186,8
144572,564,188,8
144693,565,53,6
145081,566,185,8
145337,567,185,8
156469,611,53,0
156473,611,57,0
156724,612,52,0
156727,612,55,0
156982,613,54,0
156984,613,56,0
157242,614,58,0
157318,614,134,1
157496,615,56,0
157497,615,57,0
157574,615,134,1
157576,615,136,1
157750,616,54,0
157829,616,133,1
157830,616,134,1
157831,616,135,1
157834,616,138,1
158086,617,134,1
158089,617,137,1
158090,617,138,1
158091,617,139,1
159124,621,148,13
159126,621,150,13
159376,622,144,13
159377,622,145,13
159380,622,148,13
162939,636,123,1
163193,637,121,1
163194,637,122,1
163447,638,119,1
163450,638,122,1
163703,639,119,1
163704,639,120,1
163957,640,117,1
164051,640,211,1
164213,641,117,1
164469,642,117,1
164470,642,118,1
164563,642,211,1
164820,643,212,1
164981,644,117,1
164982,644,118,1
165298,645,178,6
165332,645,212,1
165333,645,213,1
165334,645,214,1
165553,646,177,6
165591,646,215,1
166065,648,177,6
166104,648,216,1
166358,649,214,1
166359,649,215,1
166360,649,216,1
166361,649,217,1
166615,650,215,1
166617,650,217,1
166874,651,218,1
167087,652,175,6
167131,652,219,1
167599,654,175,6
167600,654,176,6
168109,656,173,6
171379,669,115,0
171381,669,117,0
171636,670,116,0
171638,670,118,0
171894,671,118,0
172151,672,119,0
176216,688,88,4
176472,689,88,4
176723,690,83,4
176729,690,89,4
183963,718,155,0
184216,719,152,0
184221,719,157,0
184473,720,153,0
184474,720,154,0
184729,721,153,0
184983,722,151,0
184984,722,152,0
185497,724,153,0
186254,727,142,4
186509,728,141,4
186765,729,141,4
187527,732,135,4
187783,733,135,4
187793,733,145,4
188040,734,136,4
188065,734,161,4
188312,735,152,4
188315,735,155,4
192606,752,94,0
193372,755,92,0
194287,758,239,7
194539,759,235,7
195267,762,195,4
195557,763,229,7
195811,764,227,7
196274,766,178,4
196532,767,180,4
197320,770,200,4
197557,771,181,4
197657,772,25,0
197813,772,181,4
197832,772,200,4
