pixel_index,row,col,class
9612,5,87,8
16587,8,1347,8
19818,10,768,0
27937,14,1267,9
28367,14,1697,10
28422,14,1752,8
28423,14,1753,8
30190,15,1615,6
33162,17,777,0
35069,18,779,0
35663,18,1373,8
36964,19,769,1
41296,21,1291,10
53667,28,327,6
54634,28,1294,10
59021,30,1871,8
59975,31,920,8
60628,31,1573,6
65327,34,557,1
84572,44,752,11
84742,44,922,3
84744,44,924,3
86266,45,541,1
89959,47,424,3
94645,49,1300,10
95675,50,425,3
97125,50,1875,6
97848,51,693,8
101140,53,175,4
101785,53,820,3
104953,55,178,4
105595,55,820,3
106868,56,188,4
112584,59,189,4
112592,59,197,4
116297,61,92,6
116390,61,185,4
116395,61,190,4
118309,62,199,4
123041,64,1121,5
123043,64,1123,5
127840,67,205,4
128912,67,1277,9
130298,68,758,11
131981,69,536,11
135991,71,736,11
138217,72,1057,3
138428,72,1268,9
140382,73,1317,10
149288,78,698,1
157461,82,1251,11
161413,84,1393,7
164786,86,956,3
168355,88,715,8
176572,92,1312,10
178437,93,1272,9
178439,93,1274,9
179596,94,526,11
180513,94,1443,7
184093,96,1213,12
184325,96,1445,7
185335,97,550,3
186329,97,1544,9
188004,98,1314,10
189195,99,600,13
193423,101,1018,3
194920,102,610,13
198730,104,610,13
198733,104,613,13
200673,105,648,1
201042,105,1017,3
202107,106,177,0
202530,106,600,13
204454,107,619,13
205527,107,1692,7
206345,108,605,13
206347,108,607,13
210146,110,596,13
210161,110,611,13
210167,110,617,13
211635,111,180,0
211636,111,181,0
212057,111,602,13
215871,113,606,13
216554,113,1289,9
221583,116,603,13
221585,116,605,13
221595,116,615,13
221600,116,620,13
225407,118,617,13
229211,120,611,13
229213,120,613,13
229251,120,651,0
230136,120,1536,12
232522,122,112,11
233835,122,1425,7
238233,125,108,11
238236,125,111,11
238239,125,114,11
242046,127,111,11
242252,127,317,3
254011,133,646,0
277936,145,1711,7
278393,146,263,14
282726,148,786,0
282727,148,787,0
284110,149,265,14
286009,150,259,14
287599,150,1849,7
291724,153,259,14
297976,156,796,0
298111,156,931,7
299341,157,256,14
299359,157,274,2
299590,157,505,7
305069,160,269,2
308880,162,270,2
310795,163,280,2
310802,163,287,14
316497,166,267,2
316511,166,281,2
316519,166,289,14
320295,168,255,14
320309,168,269,2
320328,168,288,14
321993,169,48,1
323203,169,1258,11
328687,172,1027,5
331739,174,269,2
333635,175,260,14
335026,175,1651,9
336432,176,1152,4
336535,176,1255,11
337455,177,270,2
337462,177,277,2
337470,177,285,2
339370,178,280,2
342027,179,1032,0
344554,180,1654,9
346461,181,1656,9
348705,183,90,6
348895,183,280,2
348896,183,281,2
352642,185,217,0
352644,185,219,0
352704,185,279,2
353998,185,1573,1
354628,186,298,14
356467,187,232,1
357742,187,1507,0
