pixel_index,row,col,class
83,0,83,14
85,0,85,14
167,1,22,2
230,1,85,14
237,1,92,14
510,3,75,14
583,4,3,2
659,4,79,14
678,4,98,10
799,5,74,14
800,5,75,14
809,5,84,14
813,5,88,14
815,5,90,14
878,6,8,2
910,6,40,11
957,6,87,14
1114,7,99,10
1165,8,5,2
1242,8,82,14
1335,9,30,9
1342,9,37,11
1343,9,38,11
1413,9,108,10
1434,9,129,13
1486,10,36,11
1542,10,92,14
1633,11,38,11
1676,11,81,14
1759,12,19,2
1933,13,48,15
1943,13,58,11
2046,14,16,2
2077,14,47,15
2078,14,48,15
2086,14,56,11
2131,14,101,10
2215,15,40,11
2216,15,41,11
2217,15,42,11
2359,16,39,11
2510,17,45,15
2512,17,47,15
2513,17,48,15
2516,17,51,15
2639,18,29,14
2641,18,31,14
2797,19,42,11
2802,19,47,15
2803,19,48,15
2932,20,32,14
2944,20,44,15
2945,20,45,15
2948,20,48,15
2966,20,66,11
3076,21,31,14
3094,21,49,15
3233,22,43,15
3237,22,47,15
3239,22,49,15
3373,23,38,11
3379,23,44,15
3383,23,48,15
3387,23,52,11
3487,24,7,1
3544,24,64,11
3546,24,66,11
3675,25,50,15
3690,25,65,11
3945,27,30,14
3963,27,48,15
4307,29,102,13
4365,30,15,2
4681,32,41,1
4755,32,115,13
4814,33,29,1
4825,33,40,1
4883,33,98,13
4960,34,30,1
5226,36,6,3
5227,36,7,3
5232,36,12,3
5264,36,44,1
5303,36,83,9
5327,36,107,13
5368,37,3,3
5372,37,7,3
5377,37,12,3
5409,37,44,1
5447,37,82,9
5524,38,14,3
5545,38,35,1
5660,39,5,3
5732,39,77,9
5734,39,79,9
5784,39,129,7
5808,40,8,3
5813,40,13,3
5877,40,77,9
5933,40,133,7
5952,41,7,3
6054,41,109,9
6072,41,127,7
6101,42,11,3
6214,42,124,7
6363,43,128,7
6398,44,18,3
6400,44,20,3
6515,44,135,7
6538,45,13,3
6543,45,18,3
6628,45,103,1
6685,46,15,3
6791,46,121,7
6809,46,139,7
6936,47,121,7
6982,48,22,3
7112,49,7,3
7120,49,15,3
7219,49,114,10
7244,49,139,7
7375,50,125,7
7385,50,135,7
7417,51,22,11
7505,51,110,9
7558,52,18,11
7619,52,79,9
7635,52,95,1
7661,52,121,7
7717,53,32,5
7718,53,33,5
7766,53,81,9
7816,53,131,7
7857,54,27,5
7956,54,126,7
8148,56,28,5
8224,56,104,1
8248,56,128,7
8251,56,131,7
8315,57,50,10
8345,57,80,9
8362,57,97,1
8401,57,136,7
8493,58,83,9
8522,58,112,10
8534,58,124,7
8680,59,125,7
8778,60,78,9
8784,60,84,9
8786,60,86,9
8803,60,103,1
8858,61,13,2
8867,61,22,8
8868,61,23,8
9012,62,22,8
9013,62,23,8
9157,63,22,8
9158,63,23,8
9170,63,35,5
9174,63,39,1
9213,63,78,9
9216,63,81,9
9302,64,22,8
9303,64,23,8
9310,64,30,5
9376,64,96,0
9429,65,4,2
9440,65,15,2
9444,65,19,2
9447,65,22,8
9448,65,23,8
9452,65,27,5
9522,65,97,0
9592,66,22,8
9593,66,23,8
9626,66,56,10
9666,66,96,0
9667,66,97,0
9668,66,98,0
9720,67,5,2
9737,67,22,8
9738,67,23,8
9811,67,96,0
9812,67,97,0
9882,68,22,8
9883,68,23,8
9893,68,33,5
9930,68,70,10
9958,68,98,0
9960,68,100,0
9975,68,115,4
10027,69,22,8
10028,69,23,8
10103,69,98,0
10104,69,99,0
10106,69,101,0
10172,70,22,8
10173,70,23,8
10248,70,98,0
10392,71,97,0
10393,71,98,0
10396,71,101,0
10411,71,116,4
10535,72,95,0
10536,72,96,0
10538,72,98,0
10539,72,99,0
10549,72,109,6
10550,72,110,6
10551,72,111,6
10591,73,6,4
10693,73,108,6
10694,73,109,6
10696,73,111,6
10734,74,4,4
10737,74,7,4
10838,74,108,6
10839,74,109,6
10844,74,114,4
10877,75,2,4
10892,75,17,4
10968,75,93,1
10983,75,108,6
10984,75,109,6
10986,75,111,6
11095,76,75,1
11128,76,108,6
11129,76,109,6
11130,76,110,6
11131,76,111,6
11179,77,14,4
11273,77,108,6
11276,77,111,6
11352,78,42,10
11364,78,54,10
11418,78,108,6
11419,78,109,6
11420,78,110,6
11506,79,51,10
11754,81,9,4
11902,82,12,4
12056,83,21,4
12193,84,13,4
12550,86,80,1
12626,87,11,4
12833,88,73,1
12947,89,42,10
12980,89,75,1
13130,90,80,1
13688,94,58,10
13854,95,79,5
14389,99,34,10
14433,99,78,5
14447,99,92,5
14880,102,90,5
15022,103,87,5
15161,104,81,5
15168,104,88,5
15252,105,27,10
15302,105,77,5
15317,105,92,5
15459,106,89,5
15541,107,26,10
15689,108,29,10
15735,108,75,5
15994,110,44,10
16144,111,49,10
16155,111,60,5
16869,116,49,4
16875,116,55,4
17019,117,54,4
17086,117,121,13
17135,118,25,12
17144,118,34,12
17149,118,39,12
17280,119,25,12
17282,119,27,12
17284,119,29,12
17298,119,43,12
17346,119,91,13
17361,119,106,13
17424,120,24,12
17425,120,25,12
17428,120,28,12
17436,120,36,12
17438,120,38,12
17441,120,41,12
17442,120,42,12
17568,121,23,12
17572,121,27,12
17725,122,35,12
17742,122,52,4
17778,122,88,13
17815,122,125,13
17868,123,33,12
17890,123,55,4
17921,123,86,13
17948,123,113,13
18020,124,40,12
18025,124,45,12
18174,125,49,4
18392,126,122,13
18443,127,28,2
18445,127,30,2
18603,128,43,2
19040,131,45,2
19159,132,19,2
19223,132,83,13
19233,132,93,13
19247,132,107,13
19379,133,94,13
19403,133,118,13
19452,134,22,2
19466,134,36,2
19469,134,39,2
19894,137,29,9
19898,137,33,9
19975,137,110,13
20099,138,89,13
20334,140,34,9
