pixel_index,row,col,class
44159,71,565,7
50704,82,356,11
54995,89,349,11
55611,90,351,11
57455,93,353,11
65062,105,592,7
71203,115,593,7
77567,126,203,12
79403,129,197,12
79407,129,201,12
80632,131,198,12
81252,132,204,12
81365,132,317,11
82215,133,553,7
82481,134,205,12
82603,134,327,11
82673,134,397,10
82828,134,552,7
82830,134,554,7
83089,135,199,12
83097,135,207,12
83101,135,211,12
83818,136,314,11
85148,138,416,11
85545,139,199,12
85660,139,314,11
86376,140,416,11
86968,141,394,10
86974,141,400,10
87388,142,200,12
87582,142,394,10
88620,144,204,12
88806,144,390,10
88809,144,393,10
89432,145,402,10
89434,145,404,10
90032,146,388,10
90655,147,397,10
90656,147,398,10
93219,151,505,4
93824,152,496,4
93828,152,500,4
94438,153,496,4
94551,153,609,7
95053,154,497,4
95056,154,500,4
95164,154,608,7
95672,155,502,4
95677,155,507,4
95775,155,605,7
95781,155,611,7
96282,156,498,4
96288,156,504,4
96289,156,505,4
96291,156,507,4
96899,157,501,4
96900,157,502,4
97008,157,610,7
97510,158,498,4
97513,158,501,4
97521,158,509,4
98747,160,507,4
106658,173,436,4
107830,175,380,11
107885,175,435,4
108519,176,455,3
108520,176,456,3
109277,177,599,0
109894,178,602,0
110502,179,596,0
111114,180,594,0
111736,181,602,0
114031,185,441,3
114653,186,449,3
115888,188,456,3
117113,190,453,3
119089,193,587,0
119710,194,594,0
120798,196,454,3
120804,196,460,3
121412,197,454,3
121416,197,458,3
122029,198,457,3
122031,198,459,3
128015,208,303,11
131087,213,305,11
131375,213,593,5
131982,214,586,5
132313,215,303,11
132317,215,307,11
132926,216,302,11
132930,216,306,11
134159,218,307,11
134440,218,588,5
134443,218,591,5
135060,219,594,5
135672,220,592,5
136104,221,410,1
136589,222,281,11
137333,223,411,1
137950,224,414,1
138563,225,413,1
139173,226,409,1
139175,226,411,1
140278,228,286,11
144119,234,443,1
147141,239,395,1
148364,241,390,1
148980,242,392,1
149592,243,390,1
149786,243,584,5
151013,245,583,5
151015,245,585,5
151627,246,583,5
151637,246,593,5
152243,247,585,5
152858,248,586,5
152860,248,588,5
152864,248,592,5
153967,250,467,2
154080,250,580,5
154084,250,584,5
154568,251,454,2
154582,251,468,2
154697,251,583,5
154706,251,592,5
155195,252,467,2
155307,252,579,5
155806,253,464,2
156422,254,466,2
157038,255,468,2
157637,256,453,2
157638,256,454,2
166704,271,310,10
169777,276,313,10
170393,277,315,10
170394,277,316,10
171002,278,310,10
171623,279,317,10
174680,284,304,10
175918,286,314,10
175919,286,315,10
184639,300,439,2
185252,301,438,2
185263,301,449,2
187091,304,435,2
190182,309,456,7
190183,309,457,7
192023,312,455,7
196939,320,459,7
197550,321,456,7
197552,321,458,7
198780,323,458,7
199386,324,450,7
200004,325,454,7
200489,326,325,9
202435,329,429,2
202942,330,322,9
202947,330,327,9
203556,331,322,9
204170,332,322,9
204174,332,326,9
204409,332,561,1
204788,333,326,9
204791,333,329,9
205024,333,562,1
206629,336,325,9
209088,340,328,9
210430,342,442,2
210432,342,444,2
210930,343,328,9
211045,343,443,2
212365,345,535,6
212891,346,447,2
213588,347,530,6
213590,347,532,6
213592,347,534,6
213595,347,537,6
214118,348,446,2
214207,348,535,6
214816,349,530,6
214819,349,533,6
214823,349,537,6
215435,350,535,6
215883,351,369,8
216046,351,532,6
216049,351,535,6
216050,351,536,6
216067,351,553,1
216659,352,531,6
216664,352,536,6
216681,352,553,1
216684,352,556,1
217271,353,529,6
217272,353,530,6
217273,353,531,6
217279,353,537,6
217303,353,561,1
217801,354,445,2
217910,354,554,1
218503,355,533,6
218528,355,558,1
219144,356,560,1
220187,358,375,8
221413,360,373,8
222031,361,377,8
223866,364,370,8
224487,365,377,8
225098,366,374,8
231331,376,467,8
232562,378,470,8
233787,380,467,8
237793,387,175,12
241905,393,603,0
243123,395,593,0
244362,397,604,0
244364,397,606,0
244977,398,605,0
245164,399,178,12
245576,399,590,0
246808,401,594,0
247420,402,592,0
249799,406,515,3
251048,408,536,3
251661,409,535,3
251664,409,538,3
255961,416,537,3
255963,416,539,3
256573,417,535,3
256574,417,536,3
259103,421,609,0
260771,424,435,8
260943,424,607,0
261387,425,437,8
261997,426,433,8
262005,426,441,8
262616,427,438,8
263233,428,441,8
263843,429,437,8
263848,429,442,8
264461,430,441,8
265596,432,348,9
266908,434,432,8
267438,435,348,9
268051,436,347,9
268924,437,606,0
270153,439,607,0
270510,440,350,9
270511,440,351,9
275066,447,608,0
278984,454,228,12
280221,456,237,12
282048,459,222,12
282674,460,234,12
284517,463,235,12
285745,465,235,12
297035,483,473,9
298260,485,470,9
298261,485,471,9
298875,486,471,9
