pixel_index,row,col,class
4915,14,155,3
11626,34,66,0
18811,55,111,3
32300,95,0,1
45603,134,43,0
58943,173,123,4
59624,175,124,4
59637,175,137,8
61673,181,133,4
64401,189,141,4
78027,229,167,8
82779,243,159,4
91660,269,200,5
99471,292,191,5
101517,298,197,5
103185,303,165,6
105280,309,220,5
107251,315,151,6
107606,316,166,8
109591,322,111,6
111601,328,81,0
113432,333,212,5
119826,352,146,6
125060,367,280,0
126274,371,134,6
129244,380,44,2
134369,395,69,2
141166,415,66,2
141871,417,91,2
142722,419,262,3
145747,428,227,8
146977,432,97,8
153007,450,7,2
155117,456,77,3
163017,479,157,7
167800,493,180,3
180915,532,35,7
185708,546,68,7
188718,555,18,0
189772,558,52,7
191829,564,69,7
196017,576,177,1
201514,592,234,1
202664,596,24,1
205888,605,188,1
