pixel_index,row,col,class
1447,3,247,7
2166,5,166,6
2939,7,139,6
3033,7,233,8
4511,11,111,8
4565,11,165,6
4999,12,199,6
5704,14,104,7
6637,16,237,8
7227,18,27,0
8577,21,177,6
8638,21,238,8
8641,21,241,8
12081,30,81,3
13034,32,234,8
13041,32,241,8
14505,36,105,7
15505,38,305,3
15784,39,184,6
19144,47,344,3
19433,48,233,8
20180,50,180,6
22547,56,147,6
22637,56,237,8
23033,57,233,8
23710,59,110,8
24105,60,105,7
25223,63,23,3
26111,65,111,8
26638,66,238,8
26755,66,355,3
27624,69,24,3
27974,69,374,3
31004,77,204,6
31326,78,126,6
33627,84,27,3
34109,85,109,8
34240,85,240,8
36638,91,238,8
36903,92,103,7
37186,92,386,3
37303,93,103,7
39036,97,236,8
40111,100,111,8
40507,101,107,8
40772,101,372,0
41631,104,31,3
43036,107,236,8
43813,109,213,6
47394,118,194,6
51436,128,236,8
52548,131,148,6
53838,134,238,8
54501,136,101,7
56000,140,0,2
56324,140,324,0
56824,142,24,2
58438,146,38,2
58465,146,65,2
58617,146,217,6
58831,147,31,2
58862,147,62,2
59633,149,33,2
59655,149,55,2
59673,149,73,2
60406,151,6,2
60481,151,81,2
60808,152,8,2
60831,152,31,2
61287,153,87,2
61444,153,244,7
61638,154,38,2
61642,154,42,2
62467,156,67,2
62844,157,44,2
63608,159,8,2
63613,159,13,2
63667,159,67,2
64049,160,49,2
64435,161,35,2
64441,161,41,2
65654,164,54,2
66043,165,43,2
66468,166,68,2
66829,167,29,2
66835,167,35,2
66873,167,73,2
68002,170,2,2
68019,170,19,2
68075,170,75,2
68187,170,187,6
68477,171,77,2
68502,171,102,8
68998,172,198,6
69223,173,23,2
69632,174,32,2
69682,174,82,2
69859,174,259,4
70042,175,42,2
70072,175,72,2
72028,180,28,1
72086,180,86,2
72935,182,135,6
73096,182,296,4
73205,183,5,1
74254,185,254,4
74657,186,257,4
74670,186,270,4
74745,186,345,3
75459,188,259,4
75558,188,358,3
75833,189,233,7
75871,189,271,4
75881,189,281,4
75970,189,370,3
76712,191,312,4
76816,192,16,1
77471,193,271,4
77868,194,268,4
79126,197,326,4
79526,198,326,4
79550,198,350,4
79680,199,80,1
79948,199,348,4
80065,200,65,1
81156,202,356,4
82389,205,389,4
82814,207,14,1
83180,207,380,4
83192,207,392,4
83585,208,385,4
83977,209,377,4
84336,210,336,4
84477,211,77,1
84512,211,112,6
84821,212,21,1
84871,212,71,1
85459,213,259,3
85522,213,322,4
85572,213,372,4
85646,214,46,1
85953,214,353,4
86137,215,137,6
86298,215,298,3
86375,215,375,4
86428,216,28,1
86497,216,97,8
86745,216,345,4
86755,216,355,4
86762,216,362,4
86900,217,100,8
87215,218,15,1
87543,218,343,4
87579,218,379,4
87987,219,387,4
88036,220,36,1
88354,220,354,4
88365,220,365,4
88372,220,372,4
89648,224,48,1
89997,224,397,4
91589,228,389,4
91665,229,65,1
92394,230,394,4
92462,231,62,1
93282,233,82,1
95047,237,247,7
95189,237,389,4
96378,240,378,3
96388,240,388,3
96468,241,68,1
96799,241,399,4
96887,242,87,1
97082,242,282,3
98843,247,43,1
99039,247,239,8
99090,247,290,3
99602,249,2,1
99845,249,245,7
100043,250,43,1
100486,251,86,1
100828,252,28,1
101655,254,55,1
102048,255,48,1
102880,257,80,1
103267,258,67,1
